ref,name,la,sector,type,governance,language,pupils,fsm_eligible,aln_pupils
6702036,Ysgol Gymraeg  Lon Las,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),458,11.6,2
6702040,MORRISTON PRIMARY SCHOOL,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,162,43.9,24.1
6702042,OYSTERMOUTH PRIMARY SCHOOL,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,213,3.6,5.6
6702048,PENTRECHWYTH PRIMARY SCHOOL,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,138,59.8,15.2
6702051,PLASMARL PRIMARY SCHOOL,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,210,50,11.4
6702054,SKETTY PRIMARY SCHOOL,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,498,10.2,5.4
6702055,ST HELEN'S PRIMARY SCHOOL,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,270,32.6,10.4
6702059,TERRACE ROAD PRIMARY SCHOOL,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,301,37.9,5.6
6702063,TOWNHILL PRIMARY SCHOOL,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,503,65.1,16.1
6702065,WAUNARLWYDD PRIMARY SCHOOL,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,238,28.4,5.9
6702067,WAUN WEN SCHOOL,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,187,54,9.1
6702069,CLWYD PRIMARY SCHOOL,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,396,60.9,21
6702071,YNYSTAWE PRIMARY SCHOOL,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,188,12.8,5.9
6702073,CLASE PRIMARY SCHOOL,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,356,70.3,22.8
6702075,PORTMEAD PRIMARY SCHOOL,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,234,65.5,14.1
6702076,MAYALS PRIMARY,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,237,15.1,7.2
6702077,CWMGLAS PRIMARY SCHOOL,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,265,51.8,22.6
6702082,BLAENYMAES PRIMARY SCHOOL,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,205,75.5,16.1
6702084,Trallwn Primary School,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,190,48.4,18.4
6702086,PARKLAND PRIMARY SCHOOL,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,620,17.2,5.5
6702092,Newton Primary School,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,218,,0
6702095,WHITESTONE PRIMARY,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,112,29.2,33
6702096,HENDREFOILAN PRIMARY,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,240,9.8,6.3
6702098,Y.G.G. BRYNYMOR,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),304,9.4,3
6702105,Bishopston Primary School,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,292,6.6,9.6
6702108,CASLLWCHWR PRIMARY SCHOOL,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,192,14.3,10.4
6702109,CILA PRIMARY SCHOOL,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,108,10.5,7.4
6702120,CRWYS PRIMARY SCHOOL,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,130,8.2,
6702157,LLANGYFELACH PRIMARY SCHOOL,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,244,12,4.5
6702159,LLANRHIDIAN PRIMARY,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,147,5.3,4.1
6702167,PENCLAWDD PRIMARY SCHOOL,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,133,19.1,6
6702172,PENGELLI PRIMARY,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,101,19.5,10.9
6702174,PENLLERGAER PRIMARY SCHOOL,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,352,13.1,6.8
6702176,PENYRHEOL PRIMARY SCHOOL,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,233,43.6,14.6
6702186,PONTARDDULAIS PRIMARY SCHOOL,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,375,28,9.1
6702189,Y.G.G. BRYNIAGO,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),189,11.6,7.4
6702192,PONTLLIW PRIMARY,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,220,11.8,2.7
6702211,TRE UCHAF PRIMARY SCHOOL,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,204,27.8,23.5
6702212,Y.G.G. PONTYBRENIN,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),545,8.3,3.7
6702215,CRAIGFELEN PRIMARY SCHOOL,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,172,61.6,8.1
6702216,PENNARD PRIMARY,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,197,5.6,7.1
6702217,KNELSTON PRIMARY,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,72,17.5,
6702219,PEN-Y-FRO,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,182,7.6,3.3
6702223,PONTYBRENIN PRIMARY SCHOOL,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,291,16.5,4.1
6702225,TALYCOPA PRIMARY SCHOOL,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,203,26.9,6.9
6702226,GLYNCOLLEN PRIMARY SCHOOL,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,193,17.8,6.2
6702229,YSGOL GYMRAEG Y LOGIN FACH,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),225,18.1,6.7
6702231,Y.G.G. TIRDEUNAW,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),357,29.9,3.4
6702232,Y.G.G. Gellionnen,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),185,29.2,5.4
6702233,GORS COMMUNITY SCHOOL,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,273,63.2,6.6
6702234,SEA VIEW PRIMARY SCHOOL,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,207,78.9,11.6
6702235,Y.G.G. Llwynderw,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),301,2.6,5.3
6702236,Birchgrove Primary,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,408,32.5,5.4
6702237,DUNVANT Primary SCHOOL,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,349,10.6,8.3
6702238,GWYROSYDD PRIMARY SCHOOL,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,371,52.4,12.4
6702239,St Thomas Community Primary School,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,406,45.1,4.4
6702240,GOWERTON PRIMARY SCHOOL,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,319,19.9,11
6702241,Pentre'r Graig Primary School,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,293,41.6,7.2
6702242,YGG TANYLAN,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),215,25.7,4.7
6702243,Burlais Primary School,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,481,42.8,8.5
6702244,Clydach Primary School,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,156,41.1,6.4
6702245,Ysgol Gymraeg Y Cwm,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),118,22.9,
6702246,Gorseinon Primary School,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,309,35.6,5.8
6702247,Brynhyfryd Primary School,Swansea,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,416,31.3,6
6703303,ST. DAVID'S RC PRIMARY SCHOOL,Swansea,Primary schools,"Nursery, Infants & Juniors",Voluntary aided,English medium school / provision,193,5.5,4.1
6703305,ST ILLTYDS PRIMARY,Swansea,Primary schools,"Nursery, Infants & Juniors",Voluntary aided,English medium school / provision,186,46.5,5.9
6703306,CHRISTCHURCH CHURCH IN WALES,Swansea,Primary schools,"Nursery, Infants & Juniors",Voluntary aided,English medium school / provision,164,23.7,9.1
6703308,ST JOSEPH'S R.C. PRIMARY,Swansea,Primary schools,"Nursery, Infants & Juniors",Voluntary aided,English medium school / provision,235,11.5,2.1
6703309,St Josephs Cathedral Primary School,Swansea,Primary schools,"Nursery, Infants & Juniors",Voluntary aided,English medium school / provision,494,24.8,3
6704031,Cefn Hengoed,Swansea,Secondary schools,Secondary (ages 11-16),Community,English medium school / provision,894,43.6,9.8
6704032,OLCHFA SCHOOL,Swansea,Secondary schools,Secondary (ages 11-19),Community,English medium school / provision,1982,17,4
6704033,MORRISTON COMPREHENSIVE,Swansea,Secondary schools,Secondary (ages 11-19),Community,English medium school / provision,1070,33.4,8.1
6704043,Pentrehafod School,Swansea,Secondary schools,Secondary (ages 11-16),Community,English medium school / provision,1102,43.4,14.3
6704044,BISHOP GORE SCHOOL,Swansea,Secondary schools,Secondary (ages 11-19),Community,English medium school / provision,1296,36.6,6.1
6704062,Penyrheol Comprehensive School,Swansea,Secondary schools,Secondary (ages 11-16),Community,English medium school / provision,864,29.5,9.5
6704063,Gowerton Comprehensive School,Swansea,Secondary schools,Secondary (ages 11-19),Community,English medium school / provision,1077,23.7,7.6
6704069,BISHOPSTON COMPREHENSIVE,Swansea,Secondary schools,Secondary (ages 11-16),Community,English medium school / provision,1126,10.9,7.1
6704072,Pontarddulais Comprehensive School,Swansea,Secondary schools,Secondary (ages 11-16),Community,English medium school / provision,827,19,8.5
6704074,Ysgol Gyfun Gwyr,Swansea,Secondary schools,Secondary (ages 11-19),Community,Welsh medium school / provision (including transitional),1124,9.9,6.9
6704075,BIRCHGROVE,Swansea,Secondary schools,Secondary (ages 11-16),Community,English medium school / provision,736,34.1,12.1
6704076,Dylan Thomas Community School,Swansea,Secondary schools,Secondary (ages 11-16),Community,English medium school / provision,708,63.3,15.3
6704078,Ysgol Gyfun Gymraeg Bryn Tawe,Swansea,Secondary schools,Secondary (ages 11-19),Community,Welsh medium school / provision (including transitional),825,17.8,5.9
6704600,Bishop Vaughan School,Swansea,Secondary schools,Secondary (ages 11-19),Voluntary aided,English medium school / provision,1269,32.7,7.3
6707009,Ysgol Calon Lan,Swansea,Special schools,Special (with post-16 provision),Special school,Not applicable,240,49.1,100
6712100,Alltwen Primary School,Neath Port Talbot,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,202,14,7.4
6712101,Blaendulais Primary School,Neath Port Talbot,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,93,64.4,31.2
6712106,Blaengwrach Primary School,Neath Port Talbot,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,148,23.6,13.5
6712110,Blaenhonddan Primary School,Neath Port Talbot,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,265,14.1,19.6
6712119,Baglan Primary School,Neath Port Talbot,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,272,20.1,9.2
6712128,YGG Cwmllynfell,Neath Port Talbot,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),57,25.6,
6712129,Creunant Primary School,Neath Port Talbot,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,95,22.9,18.9
6712134,Crymlyn Primary School,Neath Port Talbot,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,137,15.6,8.8
6712137,Cwmnedd Primary School,Neath Port Talbot,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,153,53.7,30.7
6712138,Cymer Afan Primary School,Neath Port Talbot,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,84,46.8,16.7
6712140,Godre'rgraig Primary School,Neath Port Talbot,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,94,45.5,11.7
6712142,Eastern Primary School,Neath Port Talbot,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,129,65.3,24.8
6712144,Gnoll Primary School,Neath Port Talbot,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,324,37.4,18.8
6712148,Glyncorrwg Primary School,Neath Port Talbot,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,94,50,10.6
6712149,YGG Gwaun Cae Gurwen,Neath Port Talbot,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),157,36.1,9.6
6712150,Catwg Primary School,Neath Port Talbot,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,220,15.5,12.7
6712155,Maesmarchog Community Primary School,Neath Port Talbot,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,77,40.4,29.9
6712158,YGG Rhosafan,Neath Port Talbot,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),399,25.2,2
6712161,Sandfields Primary School,Neath Port Talbot,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,266,67.1,28.2
6712168,YGG Castell-nedd,Neath Port Talbot,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),403,13.8,3.2
6712173,Croeserw Primary School,Neath Port Talbot,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,139,75.5,41
6712175,Tywyn Primary School,Neath Port Talbot,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,430,38.5,24.2
6712178,Llangiwg Primary School,Neath Port Talbot,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,81,36.8,12.3
6712181,Tonnau Primary Community School,Neath Port Talbot,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,207,28,9.7
6712187,Ynysfach Primary School,Neath Port Talbot,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,139,33,10.8
6712191,Blaenbaglan Primary School,Neath Port Talbot,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,255,15.7,12.5
6712200,Rhos Primary School,Neath Port Talbot,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,156,20.8,12.8
6712202,YGG Blaendulais,Neath Port Talbot,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),107,20.8,
6712203,Rhydyfro Primary School,Neath Port Talbot,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,131,51.9,24.4
6712205,YGG Cwm Nedd,Neath Port Talbot,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),148,27.3,4.1
6712206,Tairgwaith Primary School,Neath Port Talbot,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,91,47.1,16.5
6712208,YGG Trebannws,Neath Port Talbot,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),92,21.4,23.9
6712218,YGG Pontardawe,Neath Port Talbot,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),341,18,4.1
6712221,Waunceirch Primary School,Neath Port Talbot,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,182,44.6,26.4
6712230,Cilffriw Primary School,Neath Port Talbot,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,144,45.1,36.8
6712231,YGG Tyle'r Ynn,Neath Port Talbot,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),299,31.8,6.7
6712232,Coed Hirwaun Primary School,Neath Port Talbot,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,157,16.1,8.9
6712233,Coedffranc Primary School,Neath Port Talbot,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,396,36.8,18.7
6712234,Pen Afan Primary School,Neath Port Talbot,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,94,43.7,25.5
6712235,Awel Y Mor Primary School,Neath Port Talbot,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,340,66.7,22.9
6712236,Crynallt Primary School,Neath Port Talbot,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,393,35.8,12.5
6712237,Cwmafan Primary School,Neath Port Talbot,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,391,35.2,8.7
6712238,Central Primary School,Neath Port Talbot,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,416,32.8,16.3
6712239,Abbey Primary School,Neath Port Talbot,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,421,24.1,10
6712240,Melin Primary School,Neath Port Talbot,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,248,58.9,12.1
6712241,Ysgol Carreg Hir,Neath Port Talbot,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,375,41.7,7.2
6712242,YGG Tregeles,Neath Port Talbot,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),72,,
6713309,St Joseph's Catholic Primary School (Neath),Neath Port Talbot,Primary schools,"Nursery, Infants & Juniors",Voluntary aided,English medium school / provision,105,47.2,12.4
6713310,St Josephs Catholic Infant School,Neath Port Talbot,Primary schools,Nursery & Infants,Voluntary aided,English medium school / provision,120,18,8.3
6713311,Bryncoch CIW Primary School,Neath Port Talbot,Primary schools,"Nursery, Infants & Juniors",Voluntary aided,English medium school / provision,97,8.5,
6713313,Alderman Davies CIW Primary School,Neath Port Talbot,Primary schools,"Nursery, Infants & Juniors",Voluntary aided,English medium school / provision,232,30.3,12.9
6713314,St Therese's Catholic Primary School,Neath Port Talbot,Primary schools,"Nursery, Infants & Juniors",Voluntary aided,English medium school / provision,223,38.2,14.3
6713316,St Josephs Catholic Junior School,Neath Port Talbot,Primary schools,Juniors,Voluntary aided,English medium school / provision,156,39.1,8.3
6714064,Cefn Saeson Comprehensive School,Neath Port Talbot,Secondary schools,Secondary (ages 11-16),Community,English medium school / provision,848,31.1,11.3
6714065,Cwmtawe Community School,Neath Port Talbot,Secondary schools,Secondary (ages 11-16),Community,English medium school / provision,994,23.5,10.1
6714066,Llangatwg Community School,Neath Port Talbot,Secondary schools,Secondary (ages 11-16),Community,English medium school / provision,779,32.3,14
6714067,Dwr Y Felin Comprehensive School,Neath Port Talbot,Secondary schools,Secondary (ages 11-16),Community,English medium school / provision,1106,23.1,6.3
6714601,St Joseph's RC School and 6th Form Centre,Neath Port Talbot,Secondary schools,Secondary (ages 11-19),Voluntary aided,English medium school / provision,822,41.5,10.6
6715500,Ysgol Bae Baglan,Neath Port Talbot,Middle schools,Middle (ages 3-16),Community,English medium school / provision,1340,39.8,21.6
6715501,Ysgol Gymraeg Ystalyfera Bro Dur,Neath Port Talbot,Middle schools,Middle (ages 3-19),Community,Welsh medium school / provision (including transitional),1591,18.2,5.2
6715502,Ysgol Cwm Brombil,Neath Port Talbot,Middle schools,Middle (ages 3-16),Community,English medium school / provision,1435,31.5,10.7
6717006,Ysgol Maes y Coed,Neath Port Talbot,Special schools,Special (with post-16 provision),Special school,Not applicable,127,49.4,100
6717008,Ysgol Hendrefelin,Neath Port Talbot,Special schools,Special (without post-16 provision),Special school,Not applicable,180,66.7,100
6722046,Abercerdin Primary School,Bridgend,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,127,26.5,6.3
6722051,Betws Primary School,Bridgend,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,146,55.7,7.5
6722055,Blaengarw Primary,Bridgend,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,150,34.4,5.3
6722086,Brynmenyn Primary,Bridgend,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,403,38.5,3.2
6722090,Bryntirion Infants,Bridgend,Primary schools,Nursery & Infants,Community,English medium school / provision,144,40.2,25
6722103,CEFN CRIBWR PRIMARY SCHOOL,Bridgend,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,162,32.3,24.7
6722109,Coety Primary,Bridgend,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,490,4.2,
6722117,Cwmfelin Primary School,Bridgend,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,198,15.5,
6722122,FFALDAU,Bridgend,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,135,42,5.9
6722129,Garth Primary School,Bridgend,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,193,53.8,4.7
6722146,Coychurch Llangrallo Primary,Bridgend,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,131,15.2,4.6
6722149,LLANGYNWYD PRIMARY SCHOOL,Bridgend,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,92,50,22.8
6722172,NANTYFFYLLON PRIMARY SCHOOL,Bridgend,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,198,32.5,5.1
6722178,Nantymoel Primary School,Bridgend,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,220,42.7,9.5
6722185,Newton Primary,Bridgend,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,163,26.1,
6722194,NOTTAGE COUNTY PRIMARY,Bridgend,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,345,12.3,4.3
6722220,Pen-y-Bont Primary,Bridgend,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,340,45,3.5
6722227,Pil Primary,Bridgend,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,194,49,
6722232,Plasnewydd Primary School,Bridgend,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,169,52.3,4.7
6722256,Trelales Primary School,Bridgend,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,206,5.9,2.9
6722259,Ysgol Cynwyd Sant,Bridgend,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),286,24.9,5.9
6722275,Tynyrheol Primary School,Bridgend,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,47,55,
6722279,CROESTY PRIMARY SCHOOL,Bridgend,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,185,17.9,3.8
6722288,CORNELI PRIMARY,Bridgend,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,240,51.4,7.5
6722292,LLANGEWYDD JUNIOR SCHOOL,Bridgend,Primary schools,Juniors,Community,English medium school / provision,343,42.9,12.8
6722296,Porthcawl Primary School,Bridgend,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,181,19.6,3.9
6722298,YSGOL GYMRAEG BRO OGWR,Bridgend,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),377,13.7,
6722300,CEFN GLAS INFANTS,Bridgend,Primary schools,Nursery & Infants,Community,English medium school / provision,185,23.8,
6722301,WEST PARK PRIMARY,Bridgend,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,403,5,
6722304,Afon y Felin Primary School,Bridgend,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,129,66.7,6.2
6722342,Tondu Primary School,Bridgend,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,207,29.3,10.1
6722358,YSGOL Y FERCH O'R SGER,Bridgend,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),142,16.7,13.4
6722363,Ysgol Gynradd Gymraeg Calon Y Cymoedd,Bridgend,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),198,26.1,7.6
6722367,Maes Yr Haul Broadlands,Bridgend,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,455,9.7,3.1
6722368,BRYNCETHIN PRIMARY,Bridgend,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,222,38.6,7.2
6722369,Ogmore Vale Primary School,Bridgend,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,284,44.7,13
6722370,Pencoed Primary School,Bridgend,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,544,25.9,9.2
6722371,Oldcastle Primary School,Bridgend,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,418,10.6,3.3
6722372,Brackla Primary School,Bridgend,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,336,30.6,1.8
6722373,Caerau Primary School,Bridgend,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,400,60,17.5
6722374,Litchard Primary,Bridgend,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,460,31,7.4
6722375,Tremains Primary School,Bridgend,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,448,21.3,7.8
6722376,Mynydd Cynffig Primary,Bridgend,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,423,27.9,4.7
6723013,Penyfai Church in Wales,Bridgend,Primary schools,"Nursery, Infants & Juniors",Voluntary controlled,English medium school / provision,241,4,
6723311,ST. MARY`S & ST. PATRICK`S,Bridgend,Primary schools,"Nursery, Infants & Juniors",Voluntary aided,English medium school / provision,200,33.8,2.5
6723315,St. Robert's RC Primary,Bridgend,Primary schools,"Nursery, Infants & Juniors",Voluntary aided,English medium school / provision,169,14.2,3
6723322,St Mary's R C Primary School,Bridgend,Primary schools,"Nursery, Infants & Juniors",Voluntary aided,English medium school / provision,238,9.9,3.4
6723323,Archdeacon John Lewis C in W,Bridgend,Primary schools,"Nursery, Infants & Juniors",Voluntary aided,English medium school / provision,128,30.4,
6724059,Cynffig Comprehensive,Bridgend,Secondary schools,Secondary (ages 11-19),Community,English medium school / provision,768,37.9,8.6
6724068,Bryntirion Comprehensive.,Bridgend,Secondary schools,Secondary (ages 11-19),Community,English medium school / provision,1236,22.7,3.4
6724071,Maesteg Comprehensive School,Bridgend,Secondary schools,Secondary (ages 11-19),Community,English medium school / provision,1015,39.8,8.8
6724076,PENCOED COMPREHENSIVE,Bridgend,Secondary schools,Secondary (ages 11-19),Community,English medium school / provision,906,25.4,9.2
6724078,Brynteg  School,Bridgend,Secondary schools,Secondary (ages 11-19),Community,English medium school / provision,1668,22.5,2.6
6724080,PORTHCAWL COMPREHENSIVE SCHOOL,Bridgend,Secondary schools,Secondary (ages 11-19),Community,English medium school / provision,1169,17.2,2.7
6724085,Ysgol Gyfun Gymraeg Llangynwyd,Bridgend,Secondary schools,Secondary (ages 11-19),Community,Welsh medium school / provision (including transitional),701,21.6,2.7
6724086,Coleg Cymunedol Y Dderwen,Bridgend,Secondary schools,Secondary (ages 11-19),Community,English medium school / provision,1257,36.4,6.4
6724601,Archbishop McGrath Catholic High School,Bridgend,Secondary schools,Secondary (ages 11-19),Voluntary aided,English medium school / provision,853,18.3,2.1
6727003,Heronsbridge Special School,Bridgend,Special schools,Special (with post-16 provision),Special school,Not applicable,282,47.2,100
6727012,Ysgol Bryn Castell,Bridgend,Special schools,Special (with post-16 provision),Special school,Not applicable,183,74.4,100
