ref,name,la,sector,type,governance,language,pupils,fsm_eligible,aln_pupils
6674047,Ysgol Penglais,Ceredigion,Secondary schools,Secondary (ages 11-19),Community,English medium school / provision,1141,21.8,7.7
6674048,Ysgol Gyfun Penweddig,Ceredigion,Secondary schools,Secondary (ages 11-19),Community,Welsh medium school / provision (including transitional),577,8.8,7.1
6675500,Ysgol Bro Pedr,Ceredigion,Middle schools,Middle (ages 3-19),Community,Dual language school / provision (Welsh and English) (including transitional),920,26.5,6.2
6675501,Ysgol Henry Richard,Ceredigion,Middle schools,Middle (ages 3-16),Community,Welsh medium school / provision (including transitional),377,21.5,6.1
6675502,Ysgol Bro Teifi,Ceredigion,Middle schools,Middle (ages 3-19),Community,Welsh medium school / provision (including transitional),847,14.4,5.9
6682203,Sageston Community Primary School,Pembrokeshire,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,121,12.1,6.6
6682209,Ysgol Gynradd Gymunedol Eglwyswrw,Pembrokeshire,Primary schools,Infants & Juniors,Community,Welsh medium school / provision (including transitional),91,,0
6682212,Ysgol Gymunedol Wdig / Goodwick Community School,Pembrokeshire,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),115,36.9,6.1
6682214,Fenton Community Primary School,Pembrokeshire,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,315,44.4,18.1
6682220,Johnston Community Primary School,Pembrokeshire,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,250,23.4,13.6
6682222,Lamphey CP School,Pembrokeshire,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,164,11.6,4.3
6682223,Ysgol Gymunedol Brynconin,Pembrokeshire,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),74,23.1,
6682228,Hook CP School,Pembrokeshire,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,68,16.1,17.6
6682231,Ysgol Llanychllwydog,Pembrokeshire,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),29,,
6682233,Ysgol Gymunedol Maenclochog,Pembrokeshire,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),88,12.7,
6682242,Narberth Community Primary School,Pembrokeshire,Primary schools,"Nursery, Infants & Juniors",Community,Dual language school / provision (Welsh and English) (including transitional),279,10.3,
6682243,Ysgol Bro Ingli,Pembrokeshire,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),104,30.1,
6682250,Puncheston Community Primary School,Pembrokeshire,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),76,13.6,
6682253,Ysgol Llandudoch,Pembrokeshire,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),80,,
6682254,Wolfscastle Communty Primary School,Pembrokeshire,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),45,0,
6682258,Saundersfoot Community Primary School,Pembrokeshire,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,157,13.5,3.8
6682260,Stepaside Community Primary School,Pembrokeshire,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,110,37.8,
6682261,Templeton Community Primary School,Pembrokeshire,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,126,7.8,7.1
6682266,Tavernspite Community Primary School,Pembrokeshire,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,213,10,4.2
6682270,Ysgol Gymunedol Croesgoch,Pembrokeshire,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),107,11.7,
6682271,Broad Haven CP School,Pembrokeshire,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,98,9.5,5.1
6682273,Roch Community School,Pembrokeshire,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,118,9.5,10.2
6682384,Coastlands CP School,Pembrokeshire,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,106,13.5,
6682385,Ysgol Clydau,Pembrokeshire,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),23,0,
6682386,Pembroke Dock Community School,Pembrokeshire,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,606,28.1,7.3
6682387,Monkton Priory Community Primary  School,Pembrokeshire,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,196,61.1,14.8
6682388,Golden Grove CP School,Pembrokeshire,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,259,21.6,3.1
6682389,Ysgol Glannau Gwaun,Pembrokeshire,Primary schools,"Nursery, Infants & Juniors",Community,Dual language school / provision (Welsh and English) (including transitional),260,38,21.2
6682391,Prendergast Community Primary School,Pembrokeshire,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,400,20.5,3.5
6682392,Pennar CP,Pembrokeshire,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,204,31.6,
6682393,Neyland Community School,Pembrokeshire,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,302,22.9,10.3
6682395,Ysgol Hafan Y Mor,Pembrokeshire,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),215,8.2,
6682396,Milford Haven Community Primary School,Pembrokeshire,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,487,40.8,5.5
6682397,Waldo Williams Primary School,Pembrokeshire,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,208,29.7,6.3
6682398,Ysgol Bro Penfro,Pembrokeshire,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),164,17.5,
6683035,Cilgerran Church in Wales VC School,Pembrokeshire,Primary schools,"Nursery, Infants & Juniors",Voluntary controlled,Welsh medium school / provision (including transitional),108,20.9,
6683036,Cosheston VC School,Pembrokeshire,Primary schools,"Nursery, Infants & Juniors",Voluntary controlled,English medium school / provision,60,20.5,20
6683040,Cleddau Reach VC School,Pembrokeshire,Primary schools,"Nursery, Infants & Juniors",Voluntary controlled,English medium school / provision,223,8.5,3.6
6683042,Manorbier Church in Wales VC School,Pembrokeshire,Primary schools,"Nursery, Infants & Juniors",Voluntary controlled,English medium school / provision,25,33.3,32
6683050,Spittal Church in Wales VC School,Pembrokeshire,Primary schools,"Nursery, Infants & Juniors",Voluntary aided,English medium school / provision,105,18,6.7
6683055,St Florence Church in Wales VC School,Pembrokeshire,Primary schools,"Nursery, Infants & Juniors",Voluntary controlled,English medium school / provision,69,18,
6683058,Ysgol Ger y Llan,Pembrokeshire,Primary schools,"Nursery, Infants & Juniors",Voluntary controlled,Welsh medium school / provision (including transitional),83,14.7,
6683059,Tenby VC,Pembrokeshire,Primary schools,"Nursery, Infants & Juniors",Voluntary controlled,English medium school / provision,225,19.3,7.1
6683060,Penrhyn Church in Wales VC School,Pembrokeshire,Primary schools,"Nursery, Infants & Juniors",Voluntary controlled,English medium school / provision,74,,
6683061,Gelliswick VC School,Pembrokeshire,Primary schools,"Nursery, Infants & Juniors",Voluntary controlled,English medium school / provision,487,38.4,10.9
6683311,Holy Name RC School,Pembrokeshire,Primary schools,"Nursery, Infants & Juniors",Voluntary aided,English medium school / provision,118,11.8,
6683313,Mary Immaculate Catholic School,Pembrokeshire,Primary schools,"Nursery, Infants & Juniors",Voluntary aided,English medium school / provision,199,19,
6683314,St Francis Catholic School,Pembrokeshire,Primary schools,"Nursery, Infants & Juniors",Voluntary aided,English medium school / provision,136,29.2,
6683315,St Aidans Church in Wales VA School,Pembrokeshire,Primary schools,"Nursery, Infants & Juniors",Voluntary aided,English medium school / provision,69,12.2,7.2
6683319,St Teilos RC School,Pembrokeshire,Primary schools,"Nursery, Infants & Juniors",Voluntary aided,English medium school / provision,83,21,
6683320,St Marks Church in Wales VA School,Pembrokeshire,Primary schools,"Nursery, Infants & Juniors",Voluntary aided,English medium school / provision,111,42.5,12.6
6683321,St Oswalds Church in Wales VA School,Pembrokeshire,Primary schools,"Nursery, Infants & Juniors",Voluntary aided,English medium school / provision,135,6.7,5.2
6684031,Ysgol Bro Gwaun,Pembrokeshire,Secondary schools,Secondary (ages 11-16),Community,Dual language school / provision (Welsh and English) (including transitional),610,23.1,11.5
6684035,Ysgol Greenhill School,Pembrokeshire,Secondary schools,Secondary (ages 11-19),Community,English medium school / provision,912,16,7
6684038,Ysgol Harri Tudur / Henry Tudor School,Pembrokeshire,Secondary schools,Secondary (ages 11-19),Community,English medium school / provision,1144,31.2,9.4
6684063,Milford Haven School,Pembrokeshire,Secondary schools,Secondary (ages 11-16),Community,English medium school / provision,959,33,8.1
6684512,Haverfordwest High VC School,Pembrokeshire,Secondary schools,Secondary (ages 11-19),Voluntary controlled,English medium school / provision,1764,21,5.5
6685500,Ysgol Caer Elen,Pembrokeshire,Middle schools,Middle (ages 3-16),Community,Welsh medium school / provision (including transitional),964,15.2,1.9
6685501,Ysgol Bro Preseli,Pembrokeshire,Middle schools,Middle (ages 3-19),Community,Welsh medium school / provision (including transitional),955,11,3.4
6685900,Ysgol Penrhyn Dewi,Pembrokeshire,Middle schools,Middle (ages 3-16),Voluntary aided,English medium school / provision,624,18.8,5
6687001,Portfield Special School,Pembrokeshire,Special schools,Special (with post-16 provision),Special school,Not applicable,180,47.4,100
6691000,AMMANFORD NURSERY,Carmarthenshire,Nursery schools,Nursery,Nursery school,Not applicable,92,,
6692000,CEFNEITHIN,Carmarthenshire,Primary schools,Infants & Juniors,Community,Welsh medium school / provision (including transitional),100,7.1,
6692001,DREFACH,Carmarthenshire,Primary schools,Infants & Juniors,Community,Welsh medium school / provision (including transitional),39,20,
6692003,LLECHYFEDACH,Carmarthenshire,Primary schools,Infants & Juniors,Community,Welsh medium school / provision (including transitional),100,22.1,
6692006,Y TYMBL,Carmarthenshire,Primary schools,Infants & Juniors,Community,Welsh medium school / provision (including transitional),97,29.4,
6692007,YSGOL GYNRADD GYMRAEG GORSLAS,Carmarthenshire,Primary schools,Infants & Juniors,Community,Welsh medium school / provision (including transitional),207,15.6,3.9
6692008,CROSS HANDS,Carmarthenshire,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),127,19.1,
6692009,LLANGAIN,Carmarthenshire,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),45,30.8,
6692014,PENIEL,Carmarthenshire,Primary schools,Infants & Juniors,Community,Welsh medium school / provision (including transitional),116,,
6692018,BANCFFOSFELEN,Carmarthenshire,Primary schools,Infants & Juniors,Community,Welsh medium school / provision (including transitional),48,11.6,
6692019,GWYNFRYN,Carmarthenshire,Primary schools,Infants & Juniors,Community,Welsh medium school / provision (including transitional),60,17.6,
6692020,CARWAY,Carmarthenshire,Primary schools,Infants & Juniors,Community,Welsh medium school / provision (including transitional),58,31.9,
6692023,PONTIETS,Carmarthenshire,Primary schools,Infants & Juniors,Community,Welsh medium school / provision (including transitional),21,61.1,23.8
6692024,PONTHENRI,Carmarthenshire,Primary schools,Infants & Juniors,Community,Welsh medium school / provision (including transitional),60,26.4,
6692034,BANCYFELIN,Carmarthenshire,Primary schools,Infants & Juniors,Community,Welsh medium school / provision (including transitional),67,,
6692037,MEIDRIM,Carmarthenshire,Primary schools,Infants & Juniors,Community,Welsh medium school / provision (including transitional),32,,
6692042,SARON,Carmarthenshire,Primary schools,Infants & Juniors,Community,Welsh medium school / provision (including transitional),212,13.3,2.8
6692043,BETWS,Carmarthenshire,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),91,58.6,6.6
6692044,TY-CROES,Carmarthenshire,Primary schools,Infants & Juniors,Community,English medium school / provision,186,30.4,3.8
6692050,PARCYRHUN,Carmarthenshire,Primary schools,Infants & Juniors,Community,Dual language school / provision (Welsh and English) (including transitional),185,27.8,5.9
6692052,BLAENAU,Carmarthenshire,Primary schools,Infants & Juniors,Community,Welsh medium school / provision (including transitional),28,37.5,
6692057,LLANEDI,Carmarthenshire,Primary schools,Infants & Juniors,Community,Dual language school / provision (Welsh and English) (including transitional),21,30,
6692061,FFAIRFACH,Carmarthenshire,Primary schools,Infants & Juniors,Community,Welsh medium school / provision (including transitional),61,11.3,
6692065,TALLEY,Carmarthenshire,Primary schools,Infants & Juniors,Community,Welsh medium school / provision (including transitional),49,18.6,
6692067,CWRT HENRI,Carmarthenshire,Primary schools,Infants & Juniors,Community,Welsh medium school / provision (including transitional),36,,
6692080,LLANGADOG,Carmarthenshire,Primary schools,Infants & Juniors,Community,Welsh medium school / provision (including transitional),87,21.9,
6692084,RHYS PRICHARD,Carmarthenshire,Primary schools,Infants & Juniors,Community,Welsh medium school / provision (including transitional),191,16,2.6
6692098,LLYS HYWEL,Carmarthenshire,Primary schools,Infants & Juniors,Community,Dual language school / provision (Welsh and English) (including transitional),123,23.1,4.1
6692104,BRYNSARON,Carmarthenshire,Primary schools,Infants & Juniors,Community,Welsh medium school / provision (including transitional),48,,
6692109,LLANPUMSAINT,Carmarthenshire,Primary schools,Infants & Juniors,Community,Welsh medium school / provision (including transitional),35,,
6692112,MYNYDDYGARREG,Carmarthenshire,Primary schools,Infants & Juniors,Community,Welsh medium school / provision (including transitional),27,,0
6692114,JOHNSTOWN,Carmarthenshire,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,413,21.3,3.1
6692116,Y DDERWEN,Carmarthenshire,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),358,7.6,
6692119,LLANMILOE,Carmarthenshire,Primary schools,Infants & Juniors,Community,English medium school / provision,50,12.8,10
6692120,BRYN,Carmarthenshire,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,194,32,7.2
6692121,BYNEA,Carmarthenshire,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,215,20.9,5.6
6692123,DAFEN,Carmarthenshire,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,90,59.4,
6692128,PUM HEOL,Carmarthenshire,Primary schools,Infants & Juniors,Community,Welsh medium school / provision (including transitional),63,,
6692131,HENDY,Carmarthenshire,Primary schools,Infants & Juniors,Community,Dual language school / provision (Welsh and English) (including transitional),175,14.6,6.3
6692135,FFWRNES,Carmarthenshire,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),455,13.5,1.8
6692159,OLD ROAD,Carmarthenshire,Primary schools,Infants & Juniors,Community,English medium school / provision,111,44.3,6.3
6692166,LLANSTEFFAN,Carmarthenshire,Primary schools,Infants & Juniors,Community,Welsh medium school / provision (including transitional),16,0,
6692167,LLANNON,Carmarthenshire,Primary schools,Infants & Juniors,Community,Welsh medium school / provision (including transitional),83,,0
6692168,BRYNSIERFEL,Carmarthenshire,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),210,30.4,
6692169,BRYNAMAN,Carmarthenshire,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),253,29.5,3.6
