urn,name,phase,ks2_expected_pct,ks2_higher_pct,ks2_reading_avg,ks2_maths_avg,p8,a8,ebacc_aps,eng_maths_5plus_pct,year,source_url
135575,Bristol Cathedral Choir School,Secondary,,,,,0.55,56.7,4.96,65.8,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-performance-revised/2023-24
135663,Oasis Academy John Williams,Secondary,,,,,-0.37,42.3,3.59,38.7,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-performance-revised/2023-24
135671,Oasis Academy Brightstowe,Secondary,,,,,-1.01,33.3,2.95,19.2,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-performance-revised/2023-24
135779,Sea Mills Primary School,Primary,50.0,11.0,104.0,101.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
135867,Air Balloon Hill Primary School,Primary,60.0,6.0,105.0,105.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
135872,St Peter's Church of England Primary School (VC),Primary,39.0,0.0,101.0,100.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
135959,Bristol Metropolitan Academy,Secondary,,,,,0.54,48.0,4.31,46.0,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-performance-revised/2023-24
136311,Somervale Secondary School,Secondary,,,,,0.01,43.3,3.79,39.3,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-performance-revised/2023-24
136335,Norton Hill Academy,Secondary,,,,,0.16,52.2,4.68,54.7,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-performance-revised/2023-24
136483,Oldfield School,Secondary,,,,,-0.06,46.4,4.1,45.9,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-performance-revised/2023-24
136804,Trinity Church School,Primary,69.0,3.0,107.0,104.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
136822,Bristol Free School,Secondary,,,,,0.43,58.0,5.32,66.3,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-performance-revised/2023-24
136830,Elmlea Junior School,Primary,84.0,16.0,111.0,108.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
136966,Hayesfield Girls School,Secondary,,,,,0.76,57.9,5.4,69.8,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-performance-revised/2023-24
137062,Westbury-On-Trym Church of England Academy,Primary,75.0,11.0,110.0,107.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
137068,E-Act St Ursula's Academy,Primary,80.0,0.0,110.0,108.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
137212,Waycroft Academy,Primary,51.0,2.0,103.0,102.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
137440,Cotham School,Secondary,,,,,0.1,46.2,4.24,45.7,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-performance-revised/2023-24
137518,Henleaze Junior School,Primary,70.0,3.0,109.0,104.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
137523,Wellsway School,Secondary,,,,,0.31,51.8,4.74,58.7,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-performance-revised/2023-24
137548,Writhlington School,Secondary,,,,,0.08,46.5,3.98,43.6,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-performance-revised/2023-24
137627,St Bede's Catholic College,Secondary,,,,,0.38,55.6,4.68,56.7,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-performance-revised/2023-24
137700,Ilminster Avenue E-ACT Academy,Primary,16.0,0.0,96.0,96.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
137762,West Town Lane Academy,Primary,57.0,6.0,104.0,104.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
138204,Bedminster Down School,Secondary,,,,,-0.3,39.9,3.24,32.5,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-performance-revised/2023-24
138278,Oasis Academy Connaught,Primary,48.0,0.0,100.0,101.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
138317,Christ Church Church of England Primary School,Primary,63.0,11.0,110.0,106.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
138377,E-Act the Dolphin School,Primary,40.0,6.0,104.0,100.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
138409,Oasis Academy Bank Leaze,Primary,72.0,14.0,104.0,103.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
138448,Orchard School Bristol,Secondary,,,,,-0.31,39.6,3.63,34.1,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-performance-revised/2023-24
138465,St Patrick's Catholic Primary School,Primary,60.0,0.0,107.0,108.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
138522,Ralph Allen School,Secondary,,,,,0.34,53.8,4.9,60.6,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-performance-revised/2023-24
138531,Westbury Park School,Primary,72.0,16.0,109.0,109.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
138617,Chew Stoke Church School,Primary,68.0,16.0,105.0,107.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
138655,Begbrook Primary Academy,Primary,66.0,6.0,106.0,104.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
138658,Summerhill Academy,Primary,94.0,10.0,107.0,108.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
138668,Filton Avenue Primary School,Primary,62.0,9.0,107.0,103.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
138708,Cotham Gardens Primary School,Primary,32.0,3.0,105.0,100.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
138709,Greenfield E-ACT Primary Academy,Primary,72.0,5.0,107.0,103.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
138710,Oasis Academy New Oak,Primary,50.0,13.0,103.0,104.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
138789,Minerva Primary Academy,Primary,63.0,2.0,104.0,103.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
138791,Frome Vale Academy,Primary,82.0,0.0,103.0,105.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
138794,Fishponds CofE Primary School,Primary,50.0,4.0,103.0,102.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
138855,Redland Green School,Secondary,,,,,0.59,61.5,6.0,74.4,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-performance-revised/2023-24
138900,Little Mead Primary Academy,Primary,44.0,5.0,102.0,102.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
138904,Parson Street Primary School,Primary,58.0,6.0,103.0,103.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
138985,Broadlands Academy,Secondary,,,,,-0.21,40.7,3.46,31.8,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-performance-revised/2023-24
139033,St Teresa's Catholic Primary School,Primary,69.0,7.0,105.0,106.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
139049,Bridge Learning Campus,Secondary,,,,,-0.75,33.6,2.83,17.7,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-performance-revised/2023-24
139050,E-Act Bannerman Road Community Academy,Primary,43.0,0.0,102.0,101.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
139116,Henbury Court Primary Academy,Primary,36.0,0.0,100.0,98.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
139247,E-Act the Kingfisher School,Primary,24.0,0.0,101.0,98.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
139505,Stoke Bishop Church of England Primary School,Primary,75.0,12.0,109.0,109.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
139828,Cathedral Primary School,Primary,68.0,2.0,107.0,105.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
140267,Redfield Educate Together Primary Academy,Primary,0.0,0.0,102.0,98.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
140268,Oasis Academy Marksbury Road,Primary,75.0,2.0,106.0,106.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
140269,E-Act Fairlawn Primary School,Primary,57.0,7.0,109.0,103.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
140409,Oasis Academy Long Cross,Primary,53.0,2.0,102.0,102.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
140452,St John's CofE Primary School,Primary,70.0,6.0,107.0,105.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
140728,Hotwells Primary School,Primary,62.0,8.0,109.0,102.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
141110,Easton CofE Primary School,Primary,38.0,2.0,100.0,99.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
141149,High Littleton CofE VC Primary School,Primary,80.0,20.0,108.0,108.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
141652,Oasis Academy Brislington,Secondary,,,,,-0.29,40.9,3.85,34.7,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-performance-revised/2023-24
