urn,name,phase,ks2_expected_pct,ks2_higher_pct,ks2_reading_avg,ks2_maths_avg,p8,a8,ebacc_aps,eng_maths_5plus_pct,year,source_url
146396,St Julian's Church School,Primary,85.0,23.0,109.0,109.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
146409,Westfield Primary School,Primary,62.0,5.0,105.0,103.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
146424,Shoscombe Church School,Primary,64.0,0.0,108.0,104.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
146572,Wansdyke Primary School,Primary,62.0,7.0,104.0,103.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
146687,Cheddar Grove Primary School,Primary,75.0,3.0,105.0,104.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
146689,Ubley Church of England Primary School,Primary,57.0,14.0,107.0,103.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
146707,Stanton Drew Primary School,Primary,50.0,0.0,104.0,100.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
146787,East Harptree Church of England Primary School,Primary,73.0,18.0,108.0,105.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
146788,Bishop Sutton Primary School,Primary,74.0,7.0,109.0,105.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
146952,Castle Primary School,Primary,57.0,9.0,105.0,102.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
146964,May Park Primary School,Primary,24.0,0.0,99.0,97.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
146972,Beechen Cliff School,Secondary,,,,,0.45,57.1,5.47,68.5,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-performance-revised/2023-24
146976,Cameley CEVC Primary School,Primary,33.0,0.0,106.0,102.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
146978,Pensford Primary School,Primary,69.0,15.0,108.0,110.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
146979,Chew Magna Primary School,Primary,20.0,0.0,108.0,104.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
147072,Trinity Academy,Secondary,,,,,0.53,50.7,4.5,56.7,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-performance-revised/2023-24
147173,Peasedown St John Primary School,Primary,52.0,3.0,102.0,102.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
147219,Blaise High School,Secondary,,,,,-0.3,40.4,3.53,40.2,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-performance-revised/2023-24
147555,Swainswick Church School,Primary,80.0,10.0,108.0,103.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
147652,Avanti Gardens School,Primary,25.0,0.0,103.0,99.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
147800,Whitchurch Primary School,Primary,55.0,10.0,103.0,103.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
147801,St Mark's CofE School,Secondary,,,,,0.74,50.6,4.51,45.9,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-performance-revised/2023-24
147861,Two Rivers Church of England Primary,Primary,,,,,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
147890,St Mary's CofE Primary School,Primary,77.0,14.0,108.0,105.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
147993,St Mary's Church of England Primary School,Primary,33.0,0.0,101.0,98.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
148516,St Nicholas Church School,Primary,49.0,3.0,105.0,102.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
148679,St Werburgh's Primary School,Primary,61.0,11.0,105.0,103.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
148841,Willow Park CofE Primary School,Primary,40.0,0.0,100.0,101.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
148942,St Bernard's Catholic Primary School,Primary,55.0,0.0,107.0,103.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
149121,Cabot Primary School,Primary,25.0,0.0,99.0,97.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
149296,Bridge Farm Primary School,Primary,73.0,15.0,109.0,106.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
149783,Oasis Academy Daventry Road,Secondary,,,,,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-performance-revised/2023-24
149784,Oasis Academy Temple Quarter,Secondary,,,,,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-performance-revised/2023-24
149915,St Nicholas of Tolentine Catholic Primary School,Primary,,,,,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
150718,Wicklea Academy,Primary,,,,,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
151299,E-Act Barton Hill Academy,Primary,,,,,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
151302,E-Act Merchants' Academy,Secondary,,,,,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-performance-revised/2023-24
151303,E-Act Montpelier High School,Secondary,,,,,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-performance-revised/2023-24
