urn,attainment8,progress8,ebacc_aps,eng_maths_5plus_pct
102879,22.4,-0.21,1.76,0.0
102929,54.9,0.34,4.79,60.0
102932,39.5,,3.23,0.0
102936,54.9,,5.06,0.0
102942,33.4,,2.4,0.0
102946,20.7,,0.46,0.0
102947,34.8,,2.83,0.0
102950,75.2,,6.89,97.0
103009,52.1,-0.03,4.5,64.0
103013,58.8,0.6,5.34,65.0
103022,39.2,,2.43,0.0
103025,,,,
103080,38.8,-0.18,3.53,38.0
103094,45.8,-0.14,3.93,43.0
103097,44.1,-0.26,4.02,43.0
103100,46.7,-0.24,4.05,51.0
103101,46.4,-0.17,3.6,47.0
103103,59.0,0.79,5.4,71.0
103105,42.5,-0.2,3.54,39.0
103106,44.9,-0.3,3.99,44.0
103110,13.9,,0.2,0.0
103112,56.4,,4.97,63.0
103119,55.6,0.39,5.25,63.0
103483,50.3,0.66,4.65,49.0
103486,44.9,0.0,4.15,46.0
103493,49.9,0.43,4.58,47.0
103497,53.2,0.54,4.46,53.0
103498,49.7,0.21,4.59,52.0
103501,47.4,0.19,4.14,43.0
103503,48.5,0.65,3.98,43.0
103509,46.6,-0.26,4.18,39.0
103514,51.2,0.43,4.69,54.0
103519,37.3,-0.59,3.2,23.0
103531,64.2,1.38,5.32,74.0
103534,49.4,0.92,3.96,40.0
103539,44.0,0.18,3.8,32.0
103560,52.0,0.16,4.62,56.0
103562,50.3,0.17,4.6,69.0
103563,37.3,-0.38,3.09,27.0
103564,41.9,,3.33,34.0
103566,54.5,,4.5,58.0
103567,38.1,,2.96,0.0
103576,57.5,,5.1,73.0
103584,18.8,,1.17,0.0
103585,39.9,,1.3,0.0
103586,42.0,,3.88,62.0
103587,37.0,,3.0,0.0
103591,50.9,,4.51,62.0
103601,,,,
103605,,,,
103606,2.6,-1.62,0.15,0.0
103611,4.7,-1.3,0.15,0.0
103613,1.5,-1.52,0.17,0.0
103614,7.0,-1.35,0.45,0.0
103622,7.4,-0.87,0.67,0.0
103625,,,,
103628,4.5,-2.25,0.48,0.0
103632,6.6,-1.41,0.45,0.0
103747,48.8,,5.0,50.0
103750,16.5,,0.57,0.0
103751,31.2,,1.45,0.0
103760,1.3,-1.47,0.0,0.0
103765,,,,
103854,50.8,0.25,4.46,56.0
103855,44.0,-0.08,3.54,43.0
103858,42.3,-0.24,3.47,36.0
103870,55.1,0.41,4.74,63.0
103876,19.6,,1.46,26.0
