urn,name,phase,type,la,postcode,admissions_policy,mat,pupils,age_low,age_high,sixth_form,ofsted_region,region,constituency,idaci_quintile,ofsted_grade,ofsted_date,ofsted_pub_date,lat,lng,oa21,lsoa,msoa,ward,district,parish
143560,St Philip's CofE Primary School,Primary,Academy Converter,Bath and North East Somerset,BA2 2BN,Not applicable,Palladian Academy Trust,277,4,11,Does not have a sixth form,South West,South West,Bath,3,Not judged,05/11/2024,28/11/2024,51.362084,-2.381485,E00072906,Bath and North East Somerset 019A,Bath and North East Somerset 019,Odd Down,Bath and North East Somerset,"Bath and North East Somerset, unparished area"
143915,Norton Hill Primary School,Primary,Free School,Bath and North East Somerset,BA3 2UD,Unknown,Midsomer Norton Schools Partnership,263,2,11,Does not have a sixth form,South West,South West,Frome and East Somerset,2,1,11/07/2023,18/09/2023,51.276477,-2.482621,E00189492,Bath and North East Somerset 027A,Bath and North East Somerset 027,Midsomer Norton Redfield,Bath and North East Somerset,Midsomer Norton
144281,Farrington Gurney Church of England Primary School,Primary,Academy Converter,Bath and North East Somerset,BS39 6TY,Not applicable,Midsomer Norton Schools Partnership,93,4,11,Does not have a sixth form,South West,South West,North East Somerset and Hanham,1,2,25/05/2011,15/06/2011,51.298497,-2.530574,E00072694,Bath and North East Somerset 023B,Bath and North East Somerset 023,High Littleton,Bath and North East Somerset,Farrington Gurney
144282,Marksbury CofE Primary School,Primary,Academy Converter,Bath and North East Somerset,BA2 9HS,Not applicable,THE PARTNERSHIP TRUST,92,4,11,Does not have a sixth form,South West,South West,Frome and East Somerset,2,2,02/07/2024,21/07/2024,51.36112,-2.479747,E00072693,Bath and North East Somerset 016A,Bath and North East Somerset 016,Bathavon South,Bath and North East Somerset,Marksbury
144283,Chandag Primary School,Primary,Academy Converter,Bath and North East Somerset,BS31 1PQ,Not applicable,FUTURA LEARNING PARTNERSHIP,427,2,11,Does not have a sixth form,South West,South West,North East Somerset and Hanham,1,2,09/10/2014,20/11/2014,51.408857,-2.486673,E00072704,Bath and North East Somerset 003D,Bath and North East Somerset 003,Keynsham East,Bath and North East Somerset,Keynsham
144285,St Matthias Academy,PRU,Academy Alternative Provision Converter,Bristol,BS16 2BG,Not applicable,Midsomer Norton Schools Partnership,43,5,16,Not applicable,South West,South West,Bristol North East,3,Not judged,24/09/2024,23/10/2024,51.478977,-2.537632,E00073627,Bristol 019A,Bristol 019,Eastville,"Bristol, City of","Bristol, City of, unparished area"
144286,Notton House Academy,Special,Academy Special Converter,Bristol,SN15 2NF,Not applicable,Midsomer Norton Schools Partnership,53,8,19,Has a sixth form,South West,South West,Chippenham,1,2,03/02/2015,02/03/2015,51.425972,-2.13001,E00162912,Wiltshire 018E,Wiltshire 018,Corsham Without,Wiltshire,Lacock
144509,The City Academy Bristol,Secondary,Academy Sponsor Led,Bristol,BS5 9JH,Unknown,Cabot Learning Federation,970,11,18,Has a sixth form,South West,South West,Bristol East,5,2,02/04/2019,06/05/2019,51.460195,-2.562169,E00073584,Bristol 055A,Bristol 055,Easton,"Bristol, City of","Bristol, City of, unparished area"
144655,Knowle DGE Academy,Special,Academy Special Converter,Bristol,BS4 1QY,Not applicable,Midsomer Norton Schools Partnership,163,5,19,Has a sixth form,South West,South West,Bristol South,5,2,11/06/2024,14/07/2024,51.425426,-2.598175,E00073651,Bristol 045A,Bristol 045,Filwood,"Bristol, City of","Bristol, City of, unparished area"
144724,St Mary Redcliffe Church of England Primary School,Primary,Academy Sponsor Led,Bristol,BS3 4DP,Not applicable,Lighthouse Schools Partnership,398,3,11,Not applicable,South West,South West,Bristol South,4,2,16/11/2021,13/01/2022,51.441871,-2.58934,E00074425,Bristol 040C,Bristol 040,Windmill Hill,"Bristol, City of","Bristol, City of, unparished area"
