urn,name,phase,type,la,postcode,admissions_policy,mat,pupils,age_low,age_high,sixth_form,ofsted_region,region,constituency,idaci_quintile,ofsted_grade,ofsted_date,ofsted_pub_date
147993,St Mary's Church of England Primary School,Primary,Academy Converter,Bath and North East Somerset,BA3 3NG,Not applicable,THE PARTNERSHIP TRUST,157,3,11,Does not have a sixth form,South West,South West,Frome and East Somerset,3,Not judged,10/12/2024,22/01/2025
148296,North Star 82°,Special,Academy Special Converter,Bristol,BS10 7AH,Not applicable,NORTH STAR ACADEMY TRUST,61,5,11,Does not have a sixth form,South West,South West,Bristol North West,5,2,15/04/2015,15/05/2015
148322,North Star 240°,Special,Academy Special Converter,Bristol,BS11 0QA,Not applicable,NORTH STAR ACADEMY TRUST,75,11,16,Not applicable,South West,South West,Bristol North West,5,2,22/02/2023,04/05/2023
148516,St Nicholas Church School,Primary,Academy Converter,Bath and North East Somerset,BA3 3QH,Not applicable,The Bath and Wells Diocesan Academies Trust,187,4,11,Does not have a sixth form,South West,South West,Frome and East Somerset,3,2,24/06/2015,03/09/2015
148679,St Werburgh's Primary School,Primary,Academy Converter,Bristol,BS2 9US,Not applicable,Cathedral Schools Trust,392,4,11,Does not have a sixth form,South West,South West,Bristol Central,4,2,10/07/2024,12/09/2024
148841,Willow Park CofE Primary School,Primary,Voluntary Controlled School,Bristol,BS2 8BE,Unknown,NULL,69,4,11,Does not have a sixth form,South West,South West,Bristol Central,5,4,05/03/2024,15/05/2024
148942,St Bernard's Catholic Primary School,Primary,Academy Converter,Bristol,BS11 9TU,Not applicable,THE CARDINAL NEWMAN CATHOLIC EDUCATIONAL TRUST,205,4,11,Does not have a sixth form,South West,South West,Bristol North West,4,2,18/10/2012,21/11/2012
149121,Cabot Primary School,Primary,Academy Converter,Bristol,BS2 9JE,Not applicable,Excalibur Academies Trust,197,4,11,Does not have a sixth form,South West,South West,Bristol Central,5,2,28/01/2015,26/02/2015
149296,Bridge Farm Primary School,Primary,Academy Converter,Bristol,BS14 0LL,Not applicable,FUTURA LEARNING PARTNERSHIP,625,4,11,Does not have a sixth form,South West,South West,Bristol South,3,2,11/06/2024,14/07/2024
149783,Oasis Academy Daventry Road,Secondary,Free School,Bristol,BS14 9SQ,Non-selective,OASIS COMMUNITY LEARNING,261,11,16,Does not have a sixth form,South West,South West,Bristol South,5,NULL,NULL,NULL
149784,Oasis Academy Temple Quarter,Secondary,Free School,Bristol,BS3 4PZ,Non-selective,OASIS COMMUNITY LEARNING,278,11,18,Has a sixth form,South West,South West,Bristol South,3,NULL,NULL,NULL
149843,North Star 265°,PRU,Free School - Alternative Provision,Bristol,BS9 2NT,Non-selective,NORTH STAR ACADEMY TRUST,2,8,16,Does not have a sixth form,South West,South West,Bristol North West,NULL,NULL,NULL,NULL
149915,St Nicholas of Tolentine Catholic Primary School,Primary,Academy Converter,Bristol,BS5 0TJ,Not applicable,THE CARDINAL NEWMAN CATHOLIC EDUCATIONAL TRUST,135,4,11,Does not have a sixth form,South West,South West,Bristol East,5,4,15/06/2022,21/09/2022
150226,Lansdown Park Academy,PRU,Academy Alternative Provision Converter,Bristol,BS14 8SJ,Not applicable,Cabot Learning Federation,6,5,16,Does not have a sixth form,South West,South West,Bristol East,5,4,09/02/2022,04/04/2022
150718,Wicklea Academy,Primary,Academy Sponsor Led,Bristol,BS4 4HR,Unknown,Cabot Learning Federation,220,7,11,Does not have a sixth form,South West,South West,Bristol East,4,3,15/09/2021,11/11/2021
150919,Ashton Gate Primary School,Primary,Academy Converter,Bristol,BS3 1SZ,Not applicable,Cathedral Schools Trust,751,4,11,Does not have a sixth form,South West,South West,Bristol South,2,1,05/03/2024,30/04/2024
150940,Henleaze Infant School,Primary,Academy Converter,Bristol,BS9 4LG,Not applicable,Cathedral Schools Trust,198,4,7,Does not have a sixth form,South West,South West,Bristol North West,1,2,13/09/2022,13/11/2022
151116,Two Mile Hill Primary School,Primary,Academy Converter,Bristol,BS15 8AA,Not applicable,THE LEAF TRUST,554,4,11,Does not have a sixth form,South West,South West,Bristol East,4,3,21/06/2022,21/09/2022
151174,St Bonaventure's Catholic Primary School,Primary,Academy Converter,Bristol,BS7 8HP,Not applicable,THE CARDINAL NEWMAN CATHOLIC EDUCATIONAL TRUST,403,4,11,Does not have a sixth form,South West,South West,Bristol Central,2,2,12/06/2013,04/07/2013
151299,E-Act Barton Hill Academy,Primary,Academy Sponsor Led,Bristol,BS5 9TX,Unknown,E-ACT,265,3,11,Does not have a sixth form,South West,South West,Bristol East,5,3,16/04/2024,14/05/2024
151302,E-Act Merchants' Academy,Secondary,Academy Sponsor Led,Bristol,BS13 9AJ,Unknown,E-ACT,1070,3,18,Has a sixth form,South West,South West,Bristol South,5,4,19/03/2024,15/05/2024
151303,E-Act Montpelier High School,Secondary,Academy Sponsor Led,Bristol,BS6 5RD,Unknown,E-ACT,851,11,18,Has a sixth form,South West,South West,Bristol Central,4,4,23/03/2022,16/06/2022
151366,Nova Primary School,Primary,Academy Converter,Bristol,BS11 9NG,Not applicable,Trust in Learning (Academies),238,4,11,Does not have a sixth form,South West,South West,Bristol North West,5,2,05/07/2022,21/09/2022
151806,St John's Catholic Primary School,Primary,Academy Converter,Bath and North East Somerset,BA2 3NR,Not applicable,THE DUNSTAN CATHOLIC EDUCATIONAL TRUST,318,4,11,Does not have a sixth form,South West,South West,Bath,2,2,13/09/2023,18/10/2023
151807,St Mary's Catholic Primary School,Primary,Academy Converter,Bath and North East Somerset,BA1 4EH,Not applicable,THE DUNSTAN CATHOLIC EDUCATIONAL TRUST,185,4,11,Does not have a sixth form,South West,South West,Bath,2,Not judged,01/10/2024,10/11/2024
151920,Horfield Church of England Primary School,Primary,Academy Converter,Bristol,BS10 5BD,Not applicable,Lighthouse Schools Partnership,380,4,11,Does not have a sixth form,South West,South West,Bristol North West,3,3,16/04/2024,22/05/2024
