seed,schuid,school_type,centre_type,name,address1,address2,address3,postcode,la,la_code,datazone,uprn,denomination,fte_teacher,pupil_roll,prop_minority_ethnic,prop_20pc_most_deprived,dz_simd_percentile,dz_simd_most_deprived_15pct,dz_simd_most_deprived_16_25pct,dz_simd_most_deprived_25pct,urban_rural_8,urban_rural_6,urban_rural_8_desc,urban_rural_6_desc,grid_easting,grid_northing,lat,lng
6103030,6103030P,Primary,Local Authority,Aith Junior High School,Aith,Shetland,,ZE2 9NB,Shetland Islands,S12000027,S01012407,30100006738,Non-denominational,7.9,102,*,0%,72,N,N,N,8,6,Very Remote Rural Areas,Remote Rural Areas,8,6,1155673,60.2837886,-1.377676,
6103030,6103030S,Secondary,Local Authority,Aith Junior High School,Aith,Shetland,,ZE2 9NB,Shetland Islands,S12000027,S01012407,30100006738,Non-denominational,11.8,116,*,0%,72,N,N,N,8,6,Very Remote Rural Areas,Remote Rural Areas,8,6,1155673,60.2837886,-1.377676,
8301727,8301727P,Primary,Local Authority,Aitkenbar Primary School,Bellsmyre Campus,Howatshaws Road,DUMBARTON,G82 3DR,West Dunbartonshire,S12000039,S01013184,129056552,Non-denominational,10.3,161,*,10 - <15%,12,Y,N,Y,2,2,Other Urban Areas,Other Urban Areas,2,2,676790,55.9577091,-4.5496689,
8519323,8519323P,Primary,Local Authority,Aitkenhead Primary School,Lincoln Avenue,Tannochside,UDDINGSTON,G71 5QZ,North Lanarkshire,S12000050,S01011552,118114657,Non-denominational,11.8,184,*,5 - <10%,63,N,N,N,1,1,Large Urban Areas,Large Urban Areas,1,1,662140,55.8348598,-4.0805535,
5137527,5137527P,Primary,Local Authority,Aldourie Primary School,Aldourie,By Inverness,,IV2 6DP,Highland,S12000017,S01010596,130110242,Non-denominational,3.6,23,*,0%,76,N,N,N,6,5,Accessible Rural Areas,Accessible Rural Areas,6,5,836351,57.3961434,-4.3200098,
5232422,5232422P,Primary,Local Authority,Alehousewells School,Bremner Way,Kemnay Inverurie,ABERDEENSHIRE,AB51 5FW,Aberdeenshire,S12000034,S01006889,151085026,Non-denominational,8.1,128,5 - <10%,0%,40,N,N,N,3,3,Accessible Small Towns,Accessible Small Towns,3,3,816636,57.2396064,-2.4520444,
8516421,8516421P,Primary,Local Authority,Alexander Peden Primary,West Main Street,Harthill,SHOTTS,ML7 5TU,North Lanarkshire,S12000050,S01011441,118058575,Non-denominational,12.6,152,*,30 - <35%,18,N,Y,Y,3,3,Accessible Small Towns,Accessible Small Towns,3,3,664234,55.8587236,-3.7571807,
8405328,8405328P,Primary,Local Authority,Alexandra Parade Primary School,136 Armadale Street,,GLASGOW,G31 2TL,Glasgow City,S12000049,S01010237,906700134270,Non-denominational,16.5,273,>20%,55 - <60%,56,N,N,N,1,1,Large Urban Areas,Large Urban Areas,1,1,665541,55.8630633,-4.2157743,
5230934,5230934S,Secondary,Local Authority,Alford Academy,Alford Community Campus,Greystone Road,ALFORD,AB33 8TY,Aberdeenshire,S12000034,S01006885,151170828,Non-denominational,59,733,0 - <5%,0%,74,N,N,N,7,6,Remote Rural Areas,Remote Rural Areas,7,6,815854,57.2313696,-2.71361,
5224020,5224020P,Primary,Local Authority,Alford Primary School,Alford Community Campus,Greystone Road,ALFORD,AB33 8TY,Aberdeenshire,S12000034,S01006885,151170847,Non-denominational,21,343,5 - <10%,*,74,N,N,N,7,6,Remote Rural Areas,Remote Rural Areas,7,6,815825,57.231105,-2.713961,
8500320,8500320P,Primary,Local Authority,All Saints Primary School,88 Bellsdyke Road,Cairnhill,AIRDRIE,ML6 9DW,North Lanarkshire,S12000050,S01011643,118183657,Roman Catholic,11.9,220,5 - <10%,10 - <15%,61,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,664557,55.8582433,-3.9802053,
8640220,8640220P,Primary,Local Authority,All Saints Primary School,Blairmore Road,,GREENOCK,PA15 3JS,Inverclyde,S12000018,S01010901,119052385,Roman Catholic,27.4,372,5 - <10%,80 - <85%,3,Y,N,Y,2,2,Other Urban Areas,Other Urban Areas,2,2,674669,55.9345893,-4.7381927,
8431930,8431930S,Secondary,Local Authority,All Saints Secondary School,299 Ryehill Road,,GLASGOW,G21 3EN,Glasgow City,S12000049,S01010199,906700375787,Roman Catholic,67.6,905,>20%,70 - <75%,10,Y,N,Y,1,1,Large Urban Areas,Large Urban Areas,1,1,668087,55.8861754,-4.20294,
5724821,5724821P,Primary,Local Authority,Allan's Primary School,29 Spittal Street,Stirling,,FK8 1DU,Stirling,S12000030,S01013067,122018491,Non-denominational,11.1,158,*,20 - <25%,70,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,693507,56.1190281,-3.940673,
8510326,8510326P,Primary,Local Authority,Allanton Primary School,Dura Road,Allanton,SHOTTS,ML7 5AB,North Lanarkshire,S12000050,S01011428,118051150,Non-denominational,7.3,88,*,*,39,N,N,N,6,5,Accessible Rural Areas,Accessible Rural Areas,6,5,657975,55.8014875,-3.8251516,
