urn,name,phase,year,expected_pct,higher_pct,a8,p8
138658,Summerhill Academy,Primary,2023,94.0,10.0,,
138658,Summerhill Academy,Primary,2024,94.0,9.0,,
138668,Filton Avenue Primary School,Primary,2023,62.0,9.0,,
138668,Filton Avenue Primary School,Primary,2024,69.0,17.0,,
138708,Cotham Gardens Primary School,Primary,2023,32.0,3.0,,
138708,Cotham Gardens Primary School,Primary,2024,40.0,0.0,,
138709,Greenfield E-ACT Primary Academy,Primary,2023,72.0,5.0,,
138709,Greenfield E-ACT Primary Academy,Primary,2024,68.0,4.0,,
138710,Oasis Academy New Oak,Primary,2023,50.0,13.0,,
138710,Oasis Academy New Oak,Primary,2024,69.0,3.0,,
138789,Minerva Primary Academy,Primary,2023,63.0,2.0,,
138789,Minerva Primary Academy,Primary,2024,80.0,3.0,,
138791,Frome Vale Academy,Primary,2023,82.0,0.0,,
138791,Frome Vale Academy,Primary,2024,83.0,10.0,,
138794,Fishponds CofE Primary School,Primary,2023,50.0,4.0,,
138794,Fishponds CofE Primary School,Primary,2024,54.0,0.0,,
138855,Redland Green School,Secondary,2024,,,61.5,0.59
138900,Little Mead Primary Academy,Primary,2023,44.0,5.0,,
138900,Little Mead Primary Academy,Primary,2024,49.0,0.0,,
138904,Parson Street Primary School,Primary,2023,58.0,6.0,,
138904,Parson Street Primary School,Primary,2024,38.0,6.0,,
138985,Broadlands Academy,Secondary,2024,,,40.7,-0.21
139033,St Teresa's Catholic Primary School,Primary,2023,69.0,7.0,,
139033,St Teresa's Catholic Primary School,Primary,2024,80.0,7.0,,
139049,Bridge Learning Campus,Secondary,2024,,,33.6,-0.75
139050,E-Act Bannerman Road Community Academy,Primary,2023,43.0,0.0,,
139050,E-Act Bannerman Road Community Academy,Primary,2024,52.0,0.0,,
139116,Henbury Court Primary Academy,Primary,2023,36.0,0.0,,
139116,Henbury Court Primary Academy,Primary,2024,30.0,0.0,,
139247,E-Act the Kingfisher School,Primary,2023,24.0,0.0,,
139247,E-Act the Kingfisher School,Primary,2024,33.0,0.0,,
139505,Stoke Bishop Church of England Primary School,Primary,2023,75.0,12.0,,
139505,Stoke Bishop Church of England Primary School,Primary,2024,69.0,22.0,,
139828,Cathedral Primary School,Primary,2023,68.0,2.0,,
139828,Cathedral Primary School,Primary,2024,63.0,7.0,,
140267,Redfield Educate Together Primary Academy,Primary,2023,0.0,0.0,,
140267,Redfield Educate Together Primary Academy,Primary,2024,49.0,0.0,,
140268,Oasis Academy Marksbury Road,Primary,2023,75.0,2.0,,
140268,Oasis Academy Marksbury Road,Primary,2024,57.0,8.0,,
140269,E-Act Fairlawn Primary School,Primary,2023,57.0,7.0,,
140269,E-Act Fairlawn Primary School,Primary,2024,56.0,10.0,,
140409,Oasis Academy Long Cross,Primary,2023,53.0,2.0,,
140409,Oasis Academy Long Cross,Primary,2024,44.0,5.0,,
140452,St John's CofE Primary School,Primary,2023,70.0,6.0,,
140452,St John's CofE Primary School,Primary,2024,58.0,0.0,,
140728,Hotwells Primary School,Primary,2023,62.0,8.0,,
140728,Hotwells Primary School,Primary,2024,73.0,18.0,,
141110,Easton CofE Primary School,Primary,2023,38.0,2.0,,
141110,Easton CofE Primary School,Primary,2024,54.0,0.0,,
141149,High Littleton CofE VC Primary School,Primary,2023,80.0,20.0,,
141149,High Littleton CofE VC Primary School,Primary,2024,82.0,18.0,,
141652,Oasis Academy Brislington,Secondary,2024,,,40.9,-0.29
141705,Fairfield High School,Secondary,2024,,,49.9,0.25
141706,Four Acres Academy,Primary,2023,48.0,0.0,,
141706,Four Acres Academy,Primary,2024,44.0,6.0,,
141767,Clutton Primary School,Primary,2023,75.0,6.0,,
141767,Clutton Primary School,Primary,2024,76.0,12.0,,
142032,Woodlands Academy,Primary,2023,58.0,4.0,,
